PTNUM Month ChangeDistance AlterID prxsk sepds sfhvn secbs
7129 6 -1 14 NA NA NA NA
7129 9 -1 14 0 0 0 0
7129 12 0 14 0 0 0 0
7130 0 NA 24 3 3 3 3
7130 3 -1 24 NA NA NA NA
7130 6 0 24 NA NA NA NA
7130 9 -1 24 1 1 1 1
7130 12 0 24 1 1 1 1
7130 0 NA 6 0 1 0 1
7130 3 0 6 0 1 0 1
7130 6 0 6 NA NA NA NA
7130 9 0 6 0 1 0 1
7130 12 1 6 3 3 2 2
7130 0 NA 16 1 1 1 1
7130 3 0 16 1 1 1 1
7130 6 0 16 NA NA NA NA
7130 9 1 16 3 3 3 3
7130 12 0 16 3 3 3 3
7130 0 NA 24 3 3 3 3
7130 3 -1 24 NA NA NA NA
7130 6 0 24 NA NA NA NA
7130 9 -1 24 1 1 1 1
7130 12 0 24 1 1 1 1
7130 0 NA 1 6 5 5 5
7130 3 1 1 5 5 6 6
7130 6 1 1 6 6 5 6
7130 9 1 1 6 3 5 5
7130 12 1 1 NA NA NA NA
7132 0 NA 20 0 0 0 2
7132 3 -1 20 NA NA NA NA
7132 6 0 20 NA NA NA NA
7132 9 0 20 NA NA NA NA
7132 12 0 20 NA NA NA NA
7132 0 NA 21 0 0 0 0
7132 3 -1 21 NA NA NA NA
7132 6 -1 21 0 0 0 0
7132 9 -1 21 0 0 0 0
7132 12 -1 21 0 0 0 0
7132 0 NA 22 0 0 0 0
7132 3 -2 22 NA NA NA NA
7132 6 -1 22 0 0 0 0
7132 9 -1 22 3 3 3 3
7132 12 -1 22 0 0 0 0
7132 0 NA 25 0 0 0 0
7132 3 -1 25 NA NA NA NA
7132 6 -1 25 0 0 0 0
7132 9 -1 25 3 3 3 3
7132 12 0 25 3 3 3 3
7132 0 NA 20 0 0 0 2
7132 3 -1 20 NA NA NA NA
7132 6 0 20 NA NA NA NA
7132 9 0 20 NA NA NA NA
7132 12 0 20 NA NA NA NA
7132 0 NA 23 1 1 1 5
7132 3 1 23 6 6 6 6
7132 6 1 23 NA NA NA NA
7132 9 1 23 6 6 6 6
7132 12 0 23 6 6 6 6
7132 0 NA 26 0 0 0 1
7132 3 0 26 0 0 0 1
7132 6 1 26 NA NA NA NA
7132 9 0 26 NA NA NA NA
7132 12 0 26 NA NA NA NA
7132 0 NA 30 0 0 0 0
7132 3 1 30 5 5 5 5
7132 6 1 30 NA NA NA NA
7132 9 1 30 6 6 6 6
7132 12 0 30 6 6 6 6
7132 0 NA 20 0 0 0 2
7132 3 -1 20 NA NA NA NA
7132 6 0 20 NA NA NA NA
7132 9 0 20 NA NA NA NA
7132 12 0 20 NA NA NA NA
7132 0 NA 26 0 0 0 1
7132 3 0 26 0 0 0 1
7132 6 1 26 NA NA NA NA
7132 9 0 26 NA NA NA NA
7132 12 0 26 NA NA NA NA
7132 0 NA 1 1 0 0 0
7132 3 -1 1 4 3 2 1
7132 6 -1 1 0 0 0 0
7132 9 -2 1 0 0 0 0
7132 12 -2 1 NA NA NA NA
7132 0 NA 15 0 0 0 0
7132 3 -2 15 0 0 0 0
7132 6 -1 15 0 0 0 0
7132 9 -2 15 0 0 0 0
7132 12 -2 15 NA NA NA NA
7132 0 NA 20 0 0 0 2
7132 3 -1 20 NA NA NA NA
7132 6 0 20 NA NA NA NA
7132 9 0 20 NA NA NA NA
7132 12 0 20 NA NA NA NA
7132 0 NA 26 0 0 0 1
7132 3 0 26 0 0 0 1
7132 6 1 26 NA NA NA NA
7132 9 0 26 NA NA NA NA
7132 12 0 26 NA NA NA NA
7132 0 NA 29 0 0 0 0
7132 3 -2 29 0 0 0 0
7132 6 -1 29 0 0 0 0
7132 9 -2 29 0 0 0 0
7132 12 -2 29 NA NA NA NA
7138 0 NA 15 3 3 3 3
7138 3 -1 15 1 1 1 1
7138 6 -1 15 NA NA NA NA
7138 9 -2 15 0 0 0 0
7138 12 0 15 0 0 0 0
7138 0 NA 2 5 3 4 6
7138 3 0 2 5 3 4 6
7138 6 -1 2 5 4 5 6
7138 9 -1 2 NA NA NA NA
7138 12 0 2 NA NA NA NA
7138 0 NA 2 5 3 4 6
7138 3 0 2 5 3 4 6
7138 6 -1 2 5 4 5 6
7138 9 -1 2 NA NA NA NA
7138 12 0 2 NA NA NA NA
7140 0 NA 27 NA NA NA NA
7140 3 0 27 NA NA NA NA
7140 6 0 27 NA NA NA NA
7140 9 0 27 NA NA NA NA
7140 12 0 27 NA NA NA NA
7140 0 NA 27 NA NA NA NA
7140 3 0 27 NA NA NA NA
7140 6 0 27 NA NA NA NA
7140 9 0 27 NA NA NA NA
7140 12 0 27 NA NA NA NA
7140 0 NA 27 NA NA NA NA
7140 3 0 27 NA NA NA NA
7140 6 0 27 NA NA NA NA
7140 9 0 27 NA NA NA NA
7140 12 0 27 NA NA NA NA
7140 0 NA 3 NA NA NA NA
7140 3 -1 3 0 0 0 0
7140 6 0 3 0 0 0 0
7140 9 -2 3 0 0 0 0
7140 12 0 3 NA NA NA NA
7140 0 NA 8 NA NA NA NA
7140 3 -1 8 0 0 0 0
7140 6 0 8 0 0 0 0
7140 9 0 8 0 0 0 0
7140 12 0 8 NA NA NA NA
7140 0 NA 27 NA NA NA NA
7140 3 0 27 NA NA NA NA
7140 6 0 27 NA NA NA NA
7140 9 0 27 NA NA NA NA
7140 12 0 27 NA NA NA NA
7140 6 NA 31 2 2 2 2
7140 9 -1 31 0 0 0 0
7140 12 -1 31 NA NA NA NA
7141 0 NA 16 3 3 3 3
7141 3 -1 16 NA NA NA NA
7141 6 -1 16 2 2 2 2
7141 9 0 16 2 2 2 2
7141 12 0 16 2 2 2 2
7141 0 NA 17 3 3 3 3
7141 3 -1 17 NA NA NA NA
7141 6 -1 17 1 1 1 1
7141 9 0 17 1 1 1 1
7141 12 0 17 1 1 1 1
7141 0 NA 18 6 4 4 3
7141 3 1 18 NA NA NA NA
7141 6 0 18 NA NA NA NA
7141 9 0 18 NA NA NA NA
7141 12 0 18 NA NA NA NA
7141 0 NA 20 3 3 0 3
7141 3 -1 20 NA NA NA NA
7141 6 -1 20 0 0 0 0
7141 9 0 20 0 0 0 0
7141 12 0 20 0 0 0 0
7141 0 NA 21 0 0 0 0
7141 3 -2 21 NA NA NA NA
7141 6 0 21 NA NA NA NA
7141 9 0 21 NA NA NA NA
7141 12 -2 21 3 3 3 3
7141 0 NA 22 6 5 0 0
7141 3 -2 22 NA NA NA NA
7141 6 0 22 NA NA NA NA
7141 9 0 22 NA NA NA NA
7141 12 -2 22 4 4 4 4
7141 0 NA 26 3 3 3 3
7141 3 -2 26 NA NA NA NA
7141 6 -2 26 0 0 0 0
7141 9 -2 26 0 0 0 0
7141 12 -2 26 3 3 3 3
7141 0 NA 27 0 0 0 0
7141 3 -1 27 NA NA NA NA
7141 6 -2 27 0 0 0 0
7141 9 -2 27 0 0 0 0
7141 12 -2 27 3 3 3 3
7141 0 NA 28 3 3 3 3
7141 3 -1 28 NA NA NA NA
7141 6 -2 28 0 0 0 0
7141 9 -2 28 0 0 0 0
7141 12 -2 28 3 3 3 3
7141 0 NA 30 0 0 0 0
7141 3 -2 30 NA NA NA NA
7141 6 0 30 NA NA NA NA
7141 9 0 30 NA NA NA NA
7141 12 -2 30 3 3 3 3
7141 0 NA 18 6 4 4 3
7141 3 1 18 NA NA NA NA
7141 6 0 18 NA NA NA NA
7141 9 0 18 NA NA NA NA
7141 12 0 18 NA NA NA NA
7141 0 NA 21 0 0 0 0
7141 3 -2 21 NA NA NA NA
7141 6 0 21 NA NA NA NA
7141 9 0 21 NA NA NA NA
7141 12 -2 21 3 3 3 3
7141 0 NA 22 6 5 0 0
7141 3 -2 22 NA NA NA NA
7141 6 0 22 NA NA NA NA
7141 9 0 22 NA NA NA NA
7141 12 -2 22 4 4 4 4
7141 0 NA 30 0 0 0 0
7141 3 -2 30 NA NA NA NA
7141 6 0 30 NA NA NA NA
7141 9 0 30 NA NA NA NA
7141 12 -2 30 3 3 3 3
7141 0 NA 18 6 4 4 3
7141 3 1 18 NA NA NA NA
7141 6 0 18 NA NA NA NA
7141 9 0 18 NA NA NA NA
7141 12 0 18 NA NA NA NA
7141 0 NA 21 0 0 0 0
7141 3 -2 21 NA NA NA NA
7141 6 0 21 NA NA NA NA
7141 9 0 21 NA NA NA NA
7141 12 -2 21 3 3 3 3
7141 0 NA 22 6 5 0 0
7141 3 -2 22 NA NA NA NA
7141 6 0 22 NA NA NA NA
7141 9 0 22 NA NA NA NA
7141 12 -2 22 4 4 4 4
7141 0 NA 30 0 0 0 0
7141 3 -2 30 NA NA NA NA
7141 6 0 30 NA NA NA NA
7141 9 0 30 NA NA NA NA
7141 12 -2 30 3 3 3 3
7141 0 NA 18 6 4 4 3
7141 3 1 18 NA NA NA NA
7141 6 0 18 NA NA NA NA
7141 9 0 18 NA NA NA NA
7141 12 0 18 NA NA NA NA
7142 0 NA 29 0 0 0 0
7142 3 -1 29 NA NA NA NA
7142 6 -2 29 0 0 0 0
7142 9 -2 29 0 0 0 0
7142 12 -2 29 0 0 0 0
7142 0 NA 30 3 2 4 3
7142 3 -1 30 0 0 3 3
7142 6 -1 30 NA NA NA NA
7142 9 -1 30 1 0 1 0
7142 12 -1 30 0 0 1 0
7143 0 NA 2 4 2 2 5
7143 3 -1 2 5 1 5 5
7143 6 0 2 5 1 5 5
7143 9 -2 2 0 0 0 0
7143 12 0 2 NA NA NA NA
7143 0 NA 18 1 2 2 2
7143 3 -1 18 4 1 0 0
7143 6 1 18 4 3 1 1
7143 9 -1 18 4 3 1 3
7143 12 0 18 NA NA NA NA
7143 0 NA 28 2 2 0 1
7143 3 -2 28 2 1 0 0
7143 6 0 28 2 1 0 0
7143 9 0 28 2 1 0 0
7143 12 0 28 NA NA NA NA
7143 6 NA 32 5 4 3 4
7143 9 -1 32 4 3 2 3
7143 12 0 32 NA NA NA NA
7143 9 NA 34 NA NA NA NA
7143 12 0 34 NA NA NA NA
7144 0 NA 23 0 0 0 0
7144 3 -2 23 0 0 0 0
7144 6 -2 23 0 0 0 0
7144 9 -2 23 NA NA NA NA
7144 12 0 23 NA NA NA NA
7144 0 NA 24 3 1 0 5
7144 3 0 24 3 1 0 5
7144 6 -1 24 1 0 0 0
7144 9 -1 24 NA NA NA NA
7144 12 -2 24 0 0 0 0
7144 0 NA 23 0 0 0 0
7144 3 -2 23 0 0 0 0
7144 6 -2 23 0 0 0 0
7144 9 -2 23 NA NA NA NA
7144 12 0 23 NA NA NA NA
7145 0 NA 2 6 6 5 6
7145 3 1 2 NA NA NA NA
7145 6 1 2 NA NA NA NA
7145 12 0 2 NA NA NA NA
7145 0 NA 2 6 6 5 6
7145 3 1 2 NA NA NA NA
7145 6 1 2 NA NA NA NA
7145 12 0 2 NA NA NA NA
7145 0 NA 4 6 6 6 6
7145 3 1 4 6 6 6 6
7145 6 1 4 NA NA NA NA
7145 12 -2 4 3 3 3 3
7145 0 NA 7 3 3 3 3
7145 3 0 7 3 3 3 3
7145 6 1 7 NA NA NA NA
7145 12 0 7 NA NA NA NA
7145 0 NA 9 0 0 0 0
7145 3 0 9 0 0 0 0
7145 6 1 9 NA NA NA NA
7145 12 0 9 NA NA NA NA
7145 0 NA 2 6 6 5 6
7145 3 1 2 NA NA NA NA
7145 6 1 2 NA NA NA NA
7145 12 0 2 NA NA NA NA
7145 0 NA 7 3 3 3 3
7145 3 0 7 3 3 3 3
7145 6 1 7 NA NA NA NA
7145 12 0 7 NA NA NA NA
7145 0 NA 9 0 0 0 0
7145 3 0 9 0 0 0 0
7145 6 1 9 NA NA NA NA
7145 12 0 9 NA NA NA NA
7146 0 NA 25 3 4 3 3
7146 3 -1 25 NA NA NA NA
7146 6 1 25 6 6 6 6
7146 9 0 25 6 6 6 6
7146 12 -1 25 3 3 3 3
7146 0 NA 26 3 3 4 4
7146 3 -1 26 NA NA NA NA
7146 6 -1 26 4 4 4 4
7146 9 0 26 4 4 4 4
7146 12 0 26 4 4 4 4
7146 0 NA 27 2 3 3 1
7146 3 -1 27 NA NA NA NA
7146 6 0 27 NA NA NA NA
7146 9 1 27 3 1 1 0
7146 12 -1 27 2 2 2 1
7146 0 NA 29 4 3 4 3
7146 3 -1 29 NA NA NA NA
7146 6 0 29 NA NA NA NA
7146 9 0 29 NA NA NA NA
7146 12 -1 29 3 3 3 3
7146 0 NA 4 1 1 3 3
7146 3 1 4 5 5 5 5
7146 6 1 4 NA NA NA NA
7146 9 1 4 6 6 6 6
7146 12 0 4 6 6 6 6
7146 0 NA 27 2 3 3 1
7146 3 -1 27 NA NA NA NA
7146 6 0 27 NA NA NA NA
7146 9 1 27 3 1 1 0
7146 12 -1 27 2 2 2 1
7146 0 NA 29 4 3 4 3
7146 3 -1 29 NA NA NA NA
7146 6 0 29 NA NA NA NA
7146 9 0 29 NA NA NA NA
7146 12 -1 29 3 3 3 3
7146 0 NA 17 5 5 6 6
7146 3 -1 17 3 3 3 3
7146 6 -1 17 3 3 5 6
7146 9 -1 17 NA NA NA NA
7146 12 -1 17 3 3 2 2
7146 0 NA 29 4 3 4 3
7146 3 -1 29 NA NA NA NA
7146 6 0 29 NA NA NA NA
7146 9 0 29 NA NA NA NA
7146 12 -1 29 3 3 3 3
7147 9 NA 33 NA NA NA NA
7147 12 0 33 NA NA NA NA
7148 0 NA 11 5 6 5 6
7148 3 0 11 5 6 5 6
7148 6 1 11 6 6 6 6
7148 9 1 11 NA NA NA NA
7148 12 1 11 6 6 6 6
7148 0 NA 24 4 3 4 5
7148 3 0 24 4 3 4 5
7148 6 1 24 6 6 6 6
7148 9 1 24 NA NA NA NA
7148 12 -1 24 2 2 2 2
7148 0 NA 13 3 4 4 6
7148 3 0 13 3 4 4 6
7148 6 1 13 5 4 5 5
7148 9 0 13 5 4 5 5
7148 12 -1 13 NA NA NA NA
7148 0 NA 14 3 3 2 2
7148 3 0 14 3 3 2 2
7148 6 0 14 3 3 2 2
7148 9 -1 14 3 2 2 2
7148 12 -1 14 NA NA NA NA
7148 0 NA 18 2 2 3 4
7148 3 0 18 2 2 3 4
7148 6 0 18 2 2 3 4
7148 9 -1 18 0 3 3 3
7148 12 -1 18 NA NA NA NA
7152 0 NA 26 2 2 1 3
7152 3 0 26 2 2 1 3
7152 6 0 26 2 2 1 3
7152 9 -1 26 NA NA NA NA
7152 12 -1 26 4 3 4 4
7152 0 NA 27 2 2 3 3
7152 3 0 27 2 2 3 3
